fold_number,algorithm_type,episode_number,fold_number,algorithm_type,problem_name,num_grounded_actions,exploration_time,model_load_time,sum_failed_actions,sum_successful_actions,goal_reached,num_steps_in_episode,solver_solved_problem,safe_model_solution_status,optimistic_model_solution_status,num_craft_stick_success,num_craft_plank_success,num_craft_wooden_sword_success,num_tp_to_success,num_break_success,num_craft_stick_fail,num_craft_plank_fail,num_craft_wooden_sword_fail,num_break_fail,num_tp_to_fail,num_unknown_failed_transitions_craft_plank,num_unknown_failed_transitions_craft_stick,num_unknown_failed_transitions_craft_wooden_sword,num_unknown_failed_transitions_tp_to,num_unknown_failed_transitions_break,num_failed_due_to_discrete_condition_break,num_failed_due_to_discrete_condition_craft_wooden_sword,num_failed_due_to_discrete_condition_tp_to,num_failed_due_to_discrete_condition_craft_stick,num_failed_due_to_discrete_condition_craft_plank,num_failed_due_to_numeric_condition_craft_stick,num_failed_due_to_numeric_condition_craft_wooden_sword,num_failed_due_to_numeric_condition_break,num_failed_due_to_numeric_condition_craft_plank,num_failed_due_to_numeric_condition_tp_to
0,noam_learning,53,0,noam_learning,advanced_map_instance_40,1370,0.0,3.215170383453369,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,54,0,noam_learning,advanced_map_instance_42,1370,0.0,3.2449612617492676,0,0,True,0,True,no_solution,ok,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,55,0,noam_learning,advanced_map_instance_46,1370,0.0,3.237046480178833,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,56,0,noam_learning,advanced_map_instance_49,1370,0.0,3.2227444648742676,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,57,0,noam_learning,advanced_map_instance_5,1370,0.0,3.228254795074463,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,58,0,noam_learning,advanced_map_instance_50,1370,0.0,3.2546589374542236,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,59,0,noam_learning,advanced_map_instance_51,1370,0.0,3.232585906982422,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,60,0,noam_learning,advanced_map_instance_52,1370,0.0,3.2635550498962402,0,0,True,0,True,no_solution,ok,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,61,0,noam_learning,advanced_map_instance_53,1370,0.0,3.2548158168792725,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,62,0,noam_learning,advanced_map_instance_55,1370,0.0,3.2442824840545654,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,63,0,noam_learning,advanced_map_instance_56,1370,0.0,3.2533230781555176,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,64,0,noam_learning,advanced_map_instance_57,1370,0.0,3.252763509750366,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,65,0,noam_learning,advanced_map_instance_58,1370,0.0,4.314129829406738,0,0,True,0,True,no_solution,ok,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,66,0,noam_learning,advanced_map_instance_60,1370,0.0,3.2450554370880127,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,67,0,noam_learning,advanced_map_instance_63,1370,0.0,3.2353744506835938,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,68,0,noam_learning,advanced_map_instance_64,1370,0.0,3.2598936557769775,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,69,0,noam_learning,advanced_map_instance_65,1370,0.0,3.2542483806610107,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,70,0,noam_learning,advanced_map_instance_70,1370,0.0,3.2322351932525635,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,71,0,noam_learning,advanced_map_instance_71,1370,0.0,3.2292678356170654,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,72,0,noam_learning,advanced_map_instance_73,1370,0.0,3.2351529598236084,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,73,0,noam_learning,advanced_map_instance_8,1370,0.0,3.2258481979370117,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,74,0,noam_learning,advanced_map_instance_80,1370,0.0,3.2276575565338135,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,75,0,noam_learning,advanced_map_instance_81,1370,0.0,3.2640390396118164,0,0,True,0,True,no_solution,ok,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,76,0,noam_learning,advanced_map_instance_82,1370,0.0,3.262636423110962,0,0,True,0,True,no_solution,ok,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,77,0,noam_learning,advanced_map_instance_85,1370,0.0,3.225745439529419,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,78,0,noam_learning,advanced_map_instance_88,1370,0.0,3.2302663326263428,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,79,0,noam_learning,advanced_map_instance_89,1370,0.0,3.216801881790161,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
0,noam_learning,80,0,noam_learning,advanced_map_instance_95,1370,0.0,3.251788377761841,0,0,True,0,True,ok,irrelevant,0,0,0,0,0,0,0,0,0,0,1,0,1244,0,817,0,0,0,0,0,0,0,0,0,0
